Story,ID,Epic,Assignee,Status,Priority,Estimate,Tasks,Description,Acceptance,Branch
Keep sending in human hands,S5.4,5. Enforcement Output,Vedant,Ready,P0,0.5,"WU-16, WU-23","No send capability exists anywhere in the product - not in the UI, not in the code. Notices are drafted and copied out, and a person sends them. An agent that can act on a mistaken verdict against a third party is a liability, not a feature, and the absence of that capability is worth stating out loud in the demo.",No send action exists in either code or UI.,epic/5-enforcement-output
Ingest a deliverable and read its provenance,S6.1,6. Delivery Clearance,Prachit,Ready,P1,1.5,WU-17,"Accept an asset upload, hash it, and read any embedded provenance metadata. The absence of metadata is recorded as a distinct signal rather than a null, because a stripped credential is itself something worth asking a vendor about - silence is information here.","Missing provenance is stored as a distinct state, not as null.",epic/6-delivery-clearance
Read what the vendor said they did,S6.2,6. Delivery Clearance,Prachit,Ready,P1,1.5,WU-17,"Parse the vendor's invoice or statement of work for declared generative usage. If the invoice reads AI voice replacement, twelve lines, then those twelve lines need a grant. Paperwork is more reliable than inspection and cheaper than multimodal analysis, so it should always be consulted first.",Declared AI usage is extracted with a source quote.,epic/6-delivery-clearance
Inspect the media itself,S6.3,6. Delivery Clearance,Prachit,Ready,P1,2,WU-17,"Generate a low-bitrate proxy and ask Gemini whether a recognisable performer and a human voice are present. The proxy goes to the model rather than the original, because multimodal cost tracks bytes and inspection does not need a full-resolution master. The transcript is stored content-addressed so later questions answer from text with no second call.","The proxy is sent to the model, not the original; the transcript is cached.",epic/6-delivery-clearance
"Decide coverage, defaulting to deny",S6.4,6. Delivery Clearance,Prachit,Ready,P1,1.5,WU-17,"Run the same rule engine that enforcement uses. Every asset starts as unverified and only becomes cleared when a grant covers what was done to it. We prove coverage rather than detecting AI - which is precisely why imperfect detection is still useful, and why this half of the product can ship in a weekend.",Two uploads give one cleared and one blocked; an asset with no paperwork stays unverified.,epic/6-delivery-clearance
Show what is blocking delivery,S6.5,6. Delivery Clearance,Prachit,Ready,P1,1.5,WU-23,"A production-level rollup listing every asset that cannot ship and exactly why, produced before delivery rather than discovered after. This is the artifact a post-production supervisor actually needs, and the thing a distributor asks for at acquisition.","Blockers are listed per production, each naming the missing or non-covering grant.",epic/6-delivery-clearance
Record every decision and its inputs,S7.1,7. Auditability,Prachit,Ready,P0,1,WU-18,"Append-only audit events for every agent step and tool call, capturing inputs, outputs, tool arguments and prompt version. For a compliance product the defensible trail is the value, not a byproduct - so the Store interface deliberately exposes no update or delete for this table. Removing the capability beats remembering not to use it.",Every tool call produces an audit row; no update or delete methods exist.,epic/7-auditability
Disclose how fresh the data was,S7.2,7. Auditability,Prachit,Ready,P0,0.5,WU-18,Each recorded tool call notes whether it came from cache and how old that data was. A decision must never imply a freshness it does not have - claiming we checked the web at 3pm when we actually used data from 9am quietly undermines the one thing the product is selling.,from_cache and cache_age_s are present on every recorded tool call.,epic/7-auditability
Inspect the decision trail in the UI,S7.3,7. Auditability,Prachit,Ready,P1,1.5,WU-23,"Any verdict expands to show what it was based on, which tools ran, and the age of each input. A user who cannot audit a decision will not rely on it, and an auditable wrong answer is far more recoverable than an opaque right one.",Any verdict expands to its inputs and their age.,epic/7-auditability
"Cache uploads by content, with no expiry",S8.1,8. Performance and Resilience,Prachit,Ready,P0,1.5,WU-19,"An uploaded file never changes, so its content hash is the cache key and the entry never goes stale. Contract text extraction, media inspection and transcripts are all keyed this way. This is where the real money is saved - re-running the same contract or clip twenty times during development costs one call.",The same file processed twice results in exactly one model call.,epic/8-performance-resilience
Cache web results with TTL and the right keys,S8.2,8. Performance and Resilience,Prachit,Ready,P0,1.5,WU-19,"Web content does change, so search results and page fetches expire on a TTL. Keys must include locale and prompt_version: serve a cached US result for a JP query once and the territory logic is quietly wrong, and without prompt_version you will spend an hour debugging output from a prompt you already deleted.","Changing either locale or prompt_version misses the cache, proven by test.",epic/8-performance-resilience
Survive API failures without lying,S8.3,8. Performance and Resilience,Vedant,Ready,P0,1.5,WU-14,"Classify errors before retrying - transient gets exponential backoff with jitter, permanent gets none, semantic gets exactly one repair attempt. A circuit breaker aborts the sweep and marks it degraded rather than rendering a partial sweep as though it were complete. Retrying a 401 thirty times is how a demo slot gets burned.",A 401 is not retried; N consecutive failures mark the sweep degraded.,epic/8-performance-resilience
Run the entire demo from cache,S8.4,8. Performance and Resilience,Vedant,Ready,P0,1,WU-20,"DEMO_MODE runs the full pipeline with zero external calls. The video shoot cannot be allowed to die on a rate limit or a flaky API at 1am the night before submission, and this is a one-hour insurance policy against exactly that.",A full sweep completes with the network disabled.,epic/8-performance-resilience
Trace a sweep from end to end,S8.5,8. Performance and Resilience,Prachit,Ready,P1,1.5,WU-30,"One trace per sweep, with a span for each agent, tool call and candidate. Attributes carry prompt version, cache hit and age, token counts and retry count; the reconcile span carries the verdict and which check failed. That means a single trace answers why a finding got its verdict and what it cost, so the decision trail and the performance profile become the same artifact.","One sweep produces one trace containing the full span tree, and a reconcile span names its failing check.",epic/8-performance-resilience
Emit quality and security metrics,S8.6,8. Performance and Resilience,Prachit,Ready,P1,1,WU-30,"Beyond latency and error counts, two metrics make a dashboard worth showing: extraction validation failures broken down by reason, which is the guardrail telemetry for when the model tries to fabricate a citation and is caught, and Model Armor detections by type. Together they demonstrate the security posture rather than asserting it.","Both security metrics are non-zero after running the adversarial evalset, and appear on a dashboard.",epic/8-performance-resilience
Build the app shell,S9.1,9. Deployment,Prachit,Done,P0,1,WU-21,"FastAPI and Jinja scaffolding with layout and navigation across the three views. Deliberately minimal - no auth, no multi-tenancy, no framework ceremony. Every hour spent here is an hour not spent on the thing being judged.",Serves locally with navigation between the three views.,epic/9-deployment
Render third-party text safely,S9.2,9. Deployment,Prachit,Done,P0,0.5,WU-22,"We display text taken from attacker-controlled pages inside our own UI, so everything is escaped on output and fetched HTML is never rendered directly. Half an hour of work that prevents the demo from executing someone else's script on stage.",Script tags present in fetched page text render inert.,epic/9-deployment
Run the agents on Agent Runtime,S9.3,9. Deployment,Vedant,Ready,P0,2,WU-24,"Deploy the ADK pipelines to Agent Runtime so that powered by Gemini and Google Cloud Agent Builder is true in the code rather than in the README. Raw API calls from a container would satisfy the accepted SDK list but weakly satisfy the brief, and technological implementation is a quarter of the score. See S9.6 for the four-deployment split.","Agents are invoked remotely, not in-process.",epic/9-deployment
Serve the app from Cloud Run,S9.4,9. Deployment,Prachit,Done,P0,2,WU-25,"The submission requires a hosted URL that works from a cold start with no local dependencies. Deploy on the 8th, not the 9th - a deployment discovered broken on the final morning is the single most common way a good hackathon project fails to submit.",Works from a fresh browser with no local server running.,epic/9-deployment
Handle secrets safely in deployment,S9.5,9. Deployment,Prachit,Ready,P1,1,WU-25,"Secrets come from Secret Manager in the deployed service and from a gitignored .env locally. The repository is public, so a committed key is simultaneously a security incident and a competition risk, and deleting it in a later commit does not remove it from history.",No secrets appear in environment files in the deployed service.,epic/9-deployment
Deploy four isolated runtimes,S9.6,9. Deployment,Vedant,Ready,P0,2,WU-24,"Enforcement, triage, clearance and ingest each deploy separately with their own service account. Triage is isolated because it is the only component ingesting hostile content. One runtime per agent was considered and rejected: eleven deployments and eleven cold starts buy nothing over an empty tools tuple plus data-flow isolation, and would consume most of Monday.","Four runtimes deployed, each under its own service account, invoked remotely by the web app rather than running in-process.",epic/9-deployment
Grant least privilege so evidence cannot be deleted,S9.7,9. Deployment,Prachit,Ready,P0,1,WU-34,"Six service accounts, each holding only what it needs. The enforcement account gets create-only on the evidence bucket and never objectAdmin; the web app gets read-only; triage gets no storage grant at all. Combined with a bucket retention lock and object versioning, no principal in the system can delete evidence, not the agents, not the web app, not a stolen token. That is a property a compliance product can genuinely claim, for about ten minutes of configuration.","No principal holds objectAdmin on the evidence bucket, retention lock is enabled, and a delete attempt from every service account fails.",epic/9-deployment
